,Ticker,W%R_range,Long Trigger,Short Trigger,HODL_return,Trade Return,delta
3847,ARE,30,-85,-70,0.49629382859998333,0.240943,-0.25535082859998337
3848,ARE,30,-80,-35,0.49629382859998333,0.318254,-0.17803982859998335
3849,ARE,30,-80,-40,0.49629382859998333,0.308657,-0.18763682859998332
3850,ARE,30,-80,-45,0.49629382859998333,0.232138,-0.2641558285999833
3851,ARE,30,-80,-50,0.49629382859998333,0.249055,-0.24723882859998333
3852,ARE,30,-80,-55,0.49629382859998333,0.09696,-0.39933382859998334
3853,ARE,30,-80,-60,0.49629382859998333,-0.101443,-0.5977368285999833
3854,ARE,30,-80,-65,0.49629382859998333,0.211869,-0.2844248285999833
3855,ARE,30,-80,-70,0.49629382859998333,0.091666,-0.40462782859998336
3856,ARE,30,-75,-35,0.49629382859998333,0.301203,-0.19509082859998333
3857,ARE,30,-75,-40,0.49629382859998333,0.279502,-0.21679182859998336
3858,ARE,30,-75,-45,0.49629382859998333,0.161301,-0.33499282859998336
3859,ARE,30,-75,-50,0.49629382859998333,0.16531,-0.3309838285999833
3860,ARE,30,-75,-55,0.49629382859998333,0.092426,-0.4038678285999833
3861,ARE,30,-75,-60,0.49629382859998333,-0.130442,-0.6267358285999833
3862,ARE,30,-75,-65,0.49629382859998333,0.156249,-0.3400448285999833
3863,ARE,30,-75,-70,0.49629382859998333,0.022763,-0.47353082859998336
3864,ARE,30,-70,-35,0.49629382859998333,0.29754,-0.1987538285999833
3865,ARE,30,-70,-40,0.49629382859998333,0.267604,-0.22868982859998332
3866,ARE,30,-70,-45,0.49629382859998333,0.185783,-0.31051082859998336
3867,ARE,30,-70,-50,0.49629382859998333,0.198646,-0.29764782859998334
3868,ARE,30,-70,-55,0.49629382859998333,0.103907,-0.3923868285999833
3869,ARE,30,-70,-60,0.49629382859998333,-0.142443,-0.6387368285999833
3870,ARE,30,-70,-65,0.49629382859998333,0.041204,-0.4550898285999833
3871,ARE,30,-70,-70,0.49629382859998333,-0.114986,-0.6112798285999833
3872,ARE,30,-65,-35,0.49629382859998333,0.259926,-0.23636782859998334
3873,ARE,30,-65,-40,0.49629382859998333,0.218769,-0.27752482859998334
3874,ARE,30,-65,-45,0.49629382859998333,0.348448,-0.14784582859998335
3875,ARE,30,-65,-50,0.49629382859998333,0.326755,-0.16953882859998332
3876,ARE,30,-65,-55,0.49629382859998333,0.167869,-0.32842482859998334
3877,ARE,30,-65,-60,0.49629382859998333,-0.086983,-0.5832768285999833
3878,ARE,30,-65,-65,0.49629382859998333,0.094928,-0.4013658285999833
3879,ARE,30,-65,-70,0.49629382859998333,0.058249,-0.43804482859998334
3880,ARE,30,-60,-35,0.49629382859998333,0.256708,-0.23958582859998334
3881,ARE,30,-60,-40,0.49629382859998333,0.256379,-0.2399148285999833
3882,ARE,30,-60,-45,0.49629382859998333,0.273579,-0.22271482859998332
3883,ARE,30,-60,-50,0.49629382859998333,0.249,-0.24729382859998333
3884,ARE,30,-60,-55,0.49629382859998333,0.128869,-0.3674248285999833
3885,ARE,30,-60,-60,0.49629382859998333,-0.079927,-0.5762208285999834
3886,ARE,30,-60,-65,0.49629382859998333,-0.039535,-0.5358288285999834
3887,ARE,30,-60,-70,0.49629382859998333,-0.045607,-0.5419008285999833
3888,ARE,30,-55,-35,0.49629382859998333,0.22088,-0.2754138285999833
3889,ARE,30,-55,-40,0.49629382859998333,0.200699,-0.2955948285999833
3890,ARE,30,-55,-45,0.49629382859998333,0.178596,-0.3176978285999833
3891,ARE,30,-55,-50,0.49629382859998333,0.12588,-0.37041382859998334
3892,ARE,30,-55,-55,0.49629382859998333,-0.016674,-0.5129678285999834
3893,ARE,30,-55,-60,0.49629382859998333,-0.104021,-0.6003148285999833
3894,ARE,30,-55,-65,0.49629382859998333,-0.113017,-0.6093108285999833
3895,ARE,30,-55,-70,0.49629382859998333,-0.110036,-0.6063298285999833
3896,ARE,30,-50,-35,0.49629382859998333,0.102939,-0.39335482859998333
3897,ARE,30,-50,-40,0.49629382859998333,0.052399,-0.4438948285999833
3898,ARE,30,-50,-45,0.49629382859998333,-0.001939,-0.49823282859998336
3899,ARE,30,-50,-50,0.49629382859998333,-0.10857,-0.6048638285999833
3900,ARE,30,-50,-55,0.49629382859998333,-0.110168,-0.6064618285999833
3901,ARE,30,-50,-60,0.49629382859998333,-0.194781,-0.6910748285999834
3902,ARE,30,-50,-65,0.49629382859998333,-0.152634,-0.6489278285999833
3903,ARE,30,-50,-70,0.49629382859998333,-0.151154,-0.6474478285999834
3904,ARE,60,-85,-35,0.43912207625760974,0.176209,-0.26291307625760973
3905,ARE,60,-85,-40,0.43912207625760974,0.252865,-0.18625707625760973
3906,ARE,60,-85,-45,0.43912207625760974,-0.041782,-0.4809040762576097
3907,ARE,60,-85,-50,0.43912207625760974,0.179502,-0.25962007625760974
3908,ARE,60,-85,-55,0.43912207625760974,0.227658,-0.21146407625760974
3909,ARE,60,-85,-60,0.43912207625760974,0.11178,-0.32734207625760975
3910,ARE,60,-85,-65,0.43912207625760974,0.061707,-0.3774150762576097
3911,ARE,60,-85,-70,0.43912207625760974,0.034711,-0.40441107625760975
3912,ARE,60,-80,-35,0.43912207625760974,0.250293,-0.18882907625760975
3913,ARE,60,-80,-40,0.43912207625760974,0.331752,-0.10737007625760975
3914,ARE,60,-80,-45,0.43912207625760974,0.030638,-0.40848407625760974
